[Path1] new start x:52.9673 y:63.6838 t:0
[Path1] new goal x:16.7675 y:49.1923 t:180
[Path1] 开始路径规划...
[Path1] A*搜索完成，用时: 0.0131981 秒
[Path1] Raw Path (x, y, heading_deg, drive):
  20.4555, 42.9131, 214.397, 倒车
  21.0609, 43.2772, 221.147, 倒车
  21.6193, 43.7099, 227.897, 倒车
  22.123, 44.2052, 234.647, 倒车
  21.681, 43.6541, 241.397, 正向
  21.3069, 43.0549, 248.147, 正向
  21.0058, 42.4158, 254.897, 正向
  20.8267, 41.4331, 264.447, 正向
  20.8131, 40.4344, 273.996, 正向
  20.9654, 39.4472, 283.545, 正向
  21.2794, 38.499, 293.095, 正向
  21.7463, 37.616, 302.644, 正向
  22.3532, 36.8227, 312.193, 正向
  23.0834, 36.1411, 321.742, 正向
  23.9165, 35.59, 331.292, 正向
  24.8198, 35.1618, 335.611, 正向
  25.7306, 34.7488, 335.611, 正向
  26.6413, 34.3359, 335.611, 正向
  27.5521, 33.923, 335.611, 正向
  28.4628, 33.51, 335.611, 正向
  29.3736, 33.0971, 335.611, 正向
  30.2844, 32.6842, 335.611, 正向
  31.1951, 32.2712, 335.611, 正向
  32.1059, 31.8583, 335.611, 正向
  33.0166, 31.4454, 335.611, 正向
  33.9274, 31.0324, 335.611, 正向
  34.8382, 30.6195, 335.611, 正向
  35.7489, 30.2066, 335.611, 正向
  36.6597, 29.7936, 335.611, 正向
  37.5705, 29.3807, 335.611, 正向
  38.4812, 28.9678, 335.611, 正向
  39.392, 28.5548, 335.611, 正向
  40.3027, 28.1419, 335.611, 正向
  41.2135, 27.729, 335.611, 正向
  42.1243, 27.316, 335.611, 正向
  43.035, 26.9031, 335.611, 正向
  43.9458, 26.4902, 335.611, 正向
  44.8565, 26.0773, 335.611, 正向
  45.7673, 25.6643, 335.611, 正向
  46.685, 25.2679, 340.037, 正向
  47.649, 25.0062, 349.586, 正向
  48.643, 24.908, 359.135, 正向
[Path4] Smoothed Path (x, y, heading_deg, drive):
  17.0335, 42.262, 180.647, 正向
  17.7391, 42.2284, 187.397, 倒车
  18.4407, 42.2872, 194.147, 倒车
  19.1313, 42.427, 191.445, 倒车
  19.8031, 42.6424, 197.772, 倒车
  20.4477, 42.9296, 204.018, 倒车
  21.0564, 43.2859, 210.341, 倒车
  21.6193, 43.7099, 216.986, 倒车
  22.123, 44.2052, 234.647, 倒车
  21.681, 43.6541, 241.397, 正向
  21.3679, 42.9687, 248.147, 正向
  21.168, 42.1902, 255.599, 正向
  21.0827, 41.3493, 264.209, 正向
  21.1182, 40.4742, 272.321, 正向
  21.2795, 39.5914, 280.358, 正向
  21.5688, 38.7252, 288.466, 正向
  21.9844, 37.8966, 296.637, 正向
  22.521, 37.1225, 304.732, 正向
  23.1676, 36.4139, 312.377, 正向
  23.9086, 35.7748, 319.221, 正向
  24.7255, 35.2032, 325.02, 正向
  25.5991, 34.692, 329.667, 正向
  26.5111, 34.2309, 333.177, 正向
  27.446, 33.8079, 335.658, 正向
  28.3917, 33.4119, 337.278, 正向
  29.3396, 33.0331, 338.219, 正向
  30.2844, 32.6637, 338.642, 正向
  31.2226, 32.2968, 338.641, 正向
  32.1515, 31.9257, 338.222, 正向
  33.0681, 31.5424, 337.307, 正向
  33.9692, 31.1369, 335.774, 正向
  34.8511, 30.6979, 333.535, 正向
  35.7106, 30.2142, 330.632, 正向
  36.5467, 29.6777, 327.31, 正向
  37.3612, 29.0866, 324.034, 正向
  38.1605, 28.4489, 321.414, 正向
  38.9555, 27.7839, 320.087, 正向
  39.7614, 27.1231, 320.654, 正向
  40.5979, 26.5101, 323.761, 正向
  41.4875, 25.9974, 330.045, 正向
  42.4449, 25.6233, 338.658, 正向
  43.4581, 25.3771, 346.34, 正向
  44.5039, 25.2235, 351.647, 正向
  45.5627, 25.1315, 355.035, 正向
  46.6168, 25.0699, 356.654, 正向
  47.649, 25.0062, 356.467, 正向
  48.643, 24.908, 359.135, 正向
[Path4] 路径规划完成，总用时: 0.0151714 秒
[Path4] Smoothed Path 装载机模拟完成
[Path5] new start x:16.539 y:34.6649 t:181.157
[Path5] new goal x:53.1377 y:63.7878 t:0
[Path5] 开始路径规划...
[Path5] A*搜索完成，用时: 0.0541708 秒
[Path5] Raw Path (x, y, heading_deg, drive):
  16.539, 34.6649, 181.157, 正向
  17.2449, 34.6376, 187.907, 倒车
  17.9492, 34.6934, 194.657, 倒车
  18.642, 34.8316, 201.407, 倒车
  19.3137, 35.0503, 208.157, 倒车
  19.9551, 35.3464, 214.907, 倒车
  20.5572, 35.7159, 221.657, 倒车
  21.6135, 36.6555, 221.657, 倒车
  22.6697, 37.5952, 221.657, 倒车
  23.726, 38.5348, 221.657, 倒车
  24.7822, 39.4745, 221.657, 倒车
  25.3103, 39.9443, 221.657, 倒车
  25.8384, 40.4142, 221.657, 倒车
  26.3665, 40.884, 221.657, 倒车
  26.8947, 41.3538, 221.657, 倒车
  27.4228, 41.8237, 221.657, 倒车
